Gender,City,Main language at work,Company size,Company type,Seniority level,Position (without seniority),Your main technology / programming language,Number of vacation days,Сontract duration,Company business sector,Position,Other technologies/programming languages you use often,Employment status,Age,Number of home office days per month,Yearly salary,Years of experience total,cluster
Male,Berlin,English,10-50,Consulting / Agency,Middle,Backend Developer,Other,30.0,unlimited,Other,0,0,0,0.0 - 5.0,0.0 - 36.0,74000.0,2.0 - 3.0,3
Male,Berlin,English,10-50,Startup,Senior,QA,Not Relevant,0,unlimited,Other,0,0,0,40.0 - 45.0,0.0 - 36.0,80000.0,7.0 - 8.0,1
Male,Berlin,English,1000+,Product,Senior,Backend Developer,PHP,30.0,unlimited,Transport,0,0,0,25.0 - 30.0,0.0 - 36.0,69000.0,6.0 - 7.0,3
Male,Berlin,English,50-100,Startup,0,QA,Python,Other,unlimited,0,0,0,0,25.0 - 30.0,0.0 - 36.0,66000.0,8.0 - 9.0,0
Male,Munich,English,100-1000,Product,Middle,Backend Developer,Java,Other,unlimited,Finance / Insurance,0,0,0,0.0 - 5.0,0.0 - 36.0,61000.0,5.0 - 6.0,0
Male,Other,English,100-1000,Consulting / Agency,Senior,Mobile Developer,Kotlin,Other,unlimited,IT,0,0,0,30.0 - 35.0,0.0 - 36.0,56000.0,nan,4
Male,Berlin,English,1000+,Product,Senior,Mobile Developer,Kotlin,30.0,unlimited,Сommerce,0,0,0,0.0 - 5.0,0.0 - 36.0,68000.0,6.0 - 7.0,3
Male,Berlin,Russian,100-1000,Product,Senior,Manager,Other,28.0,unlimited,Сommerce,0,0,0,35.0 - 40.0,0.0 - 36.0,80000.0,nan,1
Male,Berlin,Deutsch,100-1000,Consulting / Agency,Senior,Other,Python,28.0,unlimited,IT,0,0,0,35.0 - 40.0,0.0 - 36.0,67000.0,nan,0
Female,Berlin,English,50-100,Startup,Middle,Data Scientist,Python,Other,unlimited,Сommerce,0,0,0,25.0 - 30.0,0.0 - 36.0,58500.0,1.0 - 2.0,4
Male,Berlin,Deutsch,50-100,Consulting / Agency,Middle,Other,Other,25.0,unlimited,Other,0,0,0,45.0 - 50.0,0.0 - 36.0,45000.0,6.0 - 7.0,6
Male,Berlin,Deutsch,50-100,Product,Junior,DevOps,Other,25.0,unlimited,Finance / Insurance,0,0,0,45.0 - 50.0,0.0 - 36.0,55000.0,0.0 - 1.0,4
Male,Berlin,English,100-1000,Product,Senior,Frontend Developer,Javascript / Typescript,Other,unlimited,Сommerce,0,0,0,35.0 - 40.0,0.0 - 36.0,66000.0,9.0 - 10.0,0
Male,Berlin,English,50-100,Product,Middle,DevOps,Other,28.0,unlimited,Сommerce,0,0,0,35.0 - 40.0,0.0 - 36.0,65000.0,9.0 - 10.0,0
Female,Berlin,English,100-1000,Product,Middle,Backend Developer,Other,Other,unlimited,Сommerce,0,0,0,35.0 - 40.0,0.0 - 36.0,57000.0,9.0 - 10.0,4
Female,Berlin,English,50-100,Product,Middle,Backend Developer,Python,30.0,unlimited,0,0,0,0,25.0 - 30.0,0.0 - 36.0,54000.0,3.0 - 4.0,4
Male,Berlin,English,1000+,Product,Senior,QA,Javascript / Typescript,30.0,unlimited,Manufacture,0,0,0,30.0 - 35.0,0.0 - 36.0,63000.0,7.0 - 8.0,0
Male,Berlin,English,100-1000,Product,Middle,Other,Python,25.0,unlimited,Finance / Insurance,0,0,0,20.0 - 25.0,0.0 - 36.0,60000.0,3.0 - 4.0,0
Male,Munich,English,1000+,Product,Senior,Frontend Developer,Javascript / Typescript,30.0,more than 1 year,0,0,0,0,20.0 - 25.0,0.0 - 36.0,74000.0,3.0 - 4.0,3
Male,Berlin,English,1000+,Product,Senior,Backend Developer,Python,27.0,unlimited,0,0,0,0,30.0 - 35.0,0.0 - 36.0,70000.0,nan,3
Male,Munich,English,1000+,Product,Senior,DevOps,Other,30.0,unlimited,Finance / Insurance,0,0,0,30.0 - 35.0,0.0 - 36.0,92000.0,nan,7
Female,Berlin,English,0,Startup,Senior,Other,Not Relevant,25.0,unlimited,Сommerce,0,0,0,30.0 - 35.0,0.0 - 36.0,52000.0,7.0 - 8.0,4
Male,Berlin,English,100-1000,Product,Middle,Backend Developer,Kotlin,28.0,unlimited,Сommerce,0,0,0,25.0 - 30.0,0.0 - 36.0,70000.0,9.0 - 10.0,3
Female,Munich,Deutsch,10-50,Consulting / Agency,Junior,Frontend Developer,Java,27.0,unlimited,Other,0,0,0,40.0 - 45.0,0.0 - 36.0,36000.0,1.0 - 2.0,2
Male,Frankfurt,English,100-1000,Bodyshop / Outsource,Middle,QA,Not Relevant,30.0,unlimited,Manufacture,0,0,0,30.0 - 35.0,0.0 - 36.0,60500.0,8.0 - 9.0,0
Male,Munich,Deutsch,1000+,Product,Senior,QA,0,30.0,unlimited,Other,0,0,0,30.0 - 35.0,0.0 - 36.0,64000.0,nan,0
Female,Munich,Deutsch,50-100,Consulting / Agency,Senior,QA,Java,28.0,unlimited,Other,0,0,0,25.0 - 30.0,0.0 - 36.0,56000.0,5.0 - 6.0,4
Male,Berlin,English,1000+,Product,Middle,Backend Developer,Javascript / Typescript,30.0,unlimited,IT,0,0,0,0.0 - 5.0,0.0 - 36.0,73500.0,nan,3
Female,Berlin,English,1000+,Product,Middle,Frontend Developer,Javascript / Typescript,30.0,unlimited,Software Development,0,0,0,30.0 - 35.0,0.0 - 36.0,59500.0,nan,0
Male,Berlin,English,up to 10,Startup,Senior,Fullstack Developer,Java,Other,unlimited,0,0,0,0,30.0 - 35.0,0.0 - 36.0,65000.0,9.0 - 10.0,0
Male,Berlin,English,100-1000,Product,Senior,Data Engineer,Python,25.0,unlimited,Other,0,0,0,25.0 - 30.0,0.0 - 36.0,81000.0,7.0 - 8.0,1
Male,Munich,Deutsch,100-1000,Product,Senior,QA,Java,30.0,unlimited,Сommerce,0,0,0,40.0 - 45.0,0.0 - 36.0,70000.0,nan,3
Male,Munich,English,50-100,Product,Senior,Backend Developer,PHP,28.0,unlimited,Finance / Insurance,0,0,0,30.0 - 35.0,0.0 - 36.0,65000.0,6.0 - 7.0,0
Male,Berlin,English,1000+,Product,Senior,Backend Developer,Java,25.0,more than 1 year,Сommerce,0,0,0,35.0 - 40.0,0.0 - 36.0,66000.0,5.0 - 6.0,0
Male,Munich,English,100-1000,Product,Senior,QA,Javascript / Typescript,28.0,unlimited,Сommerce,0,0,0,25.0 - 30.0,0.0 - 36.0,60000.0,5.0 - 6.0,0
Male,Berlin,English,100-1000,Product,Senior,Other,Other,30.0,unlimited,Other,0,0,0,30.0 - 35.0,0.0 - 36.0,74000.0,8.0 - 9.0,3
Female,Munich,Deutsch,100-1000,Product,Junior,Fullstack Developer,Java,28.0,unlimited,Finance / Insurance,0,0,0,30.0 - 35.0,0.0 - 36.0,57000.0,3.0 - 4.0,4
Female,Munich,English,1000+,Product,Junior,Backend Developer,Other,30.0,unlimited,Software Development,0,0,0,20.0 - 25.0,0.0 - 36.0,72000.0,0.0 - 1.0,3
Male,Munich,Deutsch,100-1000,Product,Senior,Fullstack Developer,PHP,Other,more than 1 year,Other,0,0,0,35.0 - 40.0,0.0 - 36.0,67000.0,nan,0
Male,Frankfurt,English,100-1000,Product,Senior,Backend Developer,Java,30.0,unlimited,Finance / Insurance,0,0,0,20.0 - 25.0,0.0 - 36.0,65000.0,5.0 - 6.0,0
Male,Berlin,English,1000+,Product,Senior,Mobile Developer,Kotlin,28.0,unlimited,Other,0,0,0,30.0 - 35.0,0.0 - 36.0,80000.0,9.0 - 10.0,1
Female,Other,English,100-1000,Product,Senior,QA,Java,Other,unlimited,Сommerce,0,0,0,30.0 - 35.0,0.0 - 36.0,50000.0,7.0 - 8.0,6
Male,Frankfurt,Deutsch,1000+,Product,Senior,Backend Developer,Other,30.0,unlimited,Manufacture,0,0,0,40.0 - 45.0,0.0 - 36.0,85000.0,9.0 - 10.0,1
Male,Cologne,Deutsch,up to 10,Consulting / Agency,Middle,QA,Java,25.0,unlimited,IT,0,0,0,30.0 - 35.0,0.0 - 36.0,61800.0,9.0 - 10.0,0
Male,Berlin,English,50-100,Startup,Senior,Backend Developer,Java,25.0,unlimited,Other,0,0,0,25.0 - 30.0,0.0 - 36.0,70000.0,6.0 - 7.0,3
Male,Munich,English,1000+,Product,Senior,DevOps,Other,30.0,unlimited,Software Development,0,0,0,30.0 - 35.0,0.0 - 36.0,90000.0,8.0 - 9.0,7
Male,Other,English,100-1000,Product,Senior,QA,Java,Other,unlimited,Other,0,0,0,25.0 - 30.0,0.0 - 36.0,45000.0,6.0 - 7.0,6
Female,Munich,Deutsch,50-100,Consulting / Agency,Junior,Frontend Developer,Javascript / Typescript,30.0,unlimited,Other,0,0,0,20.0 - 25.0,0.0 - 36.0,42000.0,1.0 - 2.0,6
Male,Munich,English,0,Product,Middle,Backend Developer,Java,27.0,unlimited,Finance / Insurance,0,0,0,25.0 - 30.0,0.0 - 36.0,59000.0,4.0 - 5.0,4
Male,Munich,Deutsch,100-1000,Product,Middle,Frontend Developer,Javascript / Typescript,27.0,unlimited,Finance / Insurance,0,0,0,40.0 - 45.0,0.0 - 36.0,60000.0,4.0 - 5.0,0
Male,Berlin,English,100-1000,Startup,0,DevOps,0,25.0,unlimited,0,0,0,0,25.0 - 30.0,0.0 - 36.0,70000.0,9.0 - 10.0,3
Male,Berlin,English,50-100,Startup,Senior,Backend Developer,Java,25.0,unlimited,Other,0,0,0,25.0 - 30.0,0.0 - 36.0,65000.0,6.0 - 7.0,0
Female,Frankfurt,Deutsch,50-100,Product,Middle,Other,Other,30.0,more than 1 year,Finance / Insurance,0,0,0,40.0 - 45.0,0.0 - 36.0,62000.0,1.0 - 2.0,0
Male,Berlin,English,1000+,Product,Senior,Manager,Java,30.0,unlimited,Сommerce,0,0,0,35.0 - 40.0,0.0 - 36.0,80000.0,nan,1
Male,Berlin,English,100-1000,Product,Middle,Mobile Developer,Swift,28.0,unlimited,Сommerce,0,0,0,30.0 - 35.0,0.0 - 36.0,60000.0,4.0 - 5.0,0
Female,Munich,English,50-100,Product,Middle,Other,Not Relevant,30.0,unlimited,Finance / Insurance,0,0,0,40.0 - 45.0,0.0 - 36.0,68700.0,9.0 - 10.0,3
Male,Other,English,1000+,Product,Senior,DevOps,Python,25.0,unlimited,0,0,0,0,0.0 - 5.0,0.0 - 36.0,33200.0,nan,2
Male,Munich,English,1000+,Product,Middle,Backend Developer,Java,30.0,unlimited,Other,0,0,0,30.0 - 35.0,0.0 - 36.0,68000.0,7.0 - 8.0,3
Male,Munich,English,100-1000,Product,Senior,Fullstack Developer,.NET,30.0,unlimited,Transport,0,0,0,30.0 - 35.0,0.0 - 36.0,63000.0,7.0 - 8.0,0
Male,Frankfurt,Deutsch,50-100,Consulting / Agency,Junior,DevOps,Other,28.0,unlimited,Сommerce,0,0,0,20.0 - 25.0,0.0 - 36.0,45000.0,0.0 - 1.0,6
Female,Munich,English,100-1000,Product,Senior,Manager,Not Relevant,27.0,unlimited,Tourism,0,0,0,45.0 - 50.0,0.0 - 36.0,75000.0,nan,3
Male,Other,English,50-100,Consulting / Agency,Senior,Backend Developer,Ruby,28.0,more than 1 year,0,0,0,0,30.0 - 35.0,0.0 - 36.0,45000.0,9.0 - 10.0,6
Female,Munich,English,1000+,Product,Senior,Other,Not Relevant,30.0,unlimited,Manufacture,0,0,0,35.0 - 40.0,0.0 - 36.0,89000.0,8.0 - 9.0,7
Male,Cologne,Deutsch,1000+,Product,Senior,Fullstack Developer,.NET,30.0,unlimited,Manufacture,0,0,0,25.0 - 30.0,0.0 - 36.0,65000.0,3.0 - 4.0,0
Male,Munich,Deutsch,1000+,Product,0,Manager,Not Relevant,30.0,unlimited,0,0,0,0,0.0 - 5.0,0.0 - 36.0,85000.0,9.0 - 10.0,1
Male,Munich,Deutsch,100-1000,Product,Junior,Backend Developer,Java,0,unlimited,0,0,0,0,30.0 - 35.0,0.0 - 36.0,46000.0,2.0 - 3.0,6
Male,Berlin,Russian,100-1000,Product,Senior,Backend Developer,Ruby,28.0,unlimited,Finance / Insurance,0,0,0,30.0 - 35.0,0.0 - 36.0,65000.0,nan,0
Male,Munich,English,1000+,Product,Lead,DevOps,Other,28.0,unlimited,0,0,0,0,25.0 - 30.0,0.0 - 36.0,85000.0,9.0 - 10.0,1
